Term (EN),Equivalent (JP),Definition (EN),Context/Example (EN),Section,File
Action,アクション,An action definition is a kind of occurrence definition (see 7.9) that classifies action performances. An action usage is a kind of occurrence usage that is a usage of one or more action definitions.,action def TakePicture { in scene : Scene; out picture : Picture; },7.17.1,SysML2
Action Definition,アクション定義,An action definition is a kind of occurrence definition (see 7.9) that classifies action performances.,action def ActionDef1;,"Table 15, p.119",SysML2
Action Usage,アクション使用,An action usage is a kind of occurrence usage that is a usage of one or more action definitions.,action action1 : ActionDef1;,"Table 15, p.119",SysML2
Parameter (of an action),アクションのパラメータ,"Any directed features declared in the body of an action definition or usage are considered to be owned parameters of the action. Features with direction in are input parameters, those with direction out are output parameters, and those with direction inout are both input and output parameters.",action def TakePicture { in scene : Scene; out picture : Picture; },7.17.2,SysML2
Performed Action Usage,実行アクション使用,A perform action usage is an action usage that specifies that an action is performed by the owner of the performed action usage.,perform action powerVehicle references VehicleActions::providePower;,7.17.6,SysML2
Control Node,制御ノード,Control nodes are special kinds of action usages that impose additional constraints on action sequencing.,"Control nodes (fork, join, decision, merge)",7.17.1,SysML2
Fork Node,フォークノード,A fork node has one incoming succession and one or more outgoing successions. The actions connected to the outgoing successions cannot start until the action connected to the incoming succession has completed.,fork fork1; first fork1 then action1; first fork1 then action2;,7.17.3,SysML2
Join Node,ジョインノード,A join node has one or more incoming successions and one outgoing succession. The action connected to the outgoing succession cannot start until all the actions connected to the incoming successions have completed.,join join1; first action1 then join1; first action2 then join1;,7.17.4,SysML2
Decision Node,決定ノード,A decision node has one incoming succession and one or more outgoing successions. Exactly one of the actions connected to an outgoing succession can start after the action connected to the incoming succession has completed. Which of the downstream actions is performed can be controlled by placing guards on the outgoing successions.,decide decision1; first decision1 then action3; first decision1 then action4;,7.17.4,SysML2
Merge Node,マージノード,A merge node has one or more incoming successions and one outgoing succession. The action connected to the outgoing succession cannot start until any one of the actions connected to an incoming succession has completed.,merge merge1; first action3 then merge1; first action4 then merge1;,7.17.4,SysML2
Assignment Action Usage,代入アクション使用,An assignment action usage is used to change the value of a referent feature of a target occurrence.,assign sim.vehicle.position := sim.vehicle.position + sim.vehicle.velocity * deltaT;,7.17.9,SysML2
Terminate Action Usage,終了アクション使用,A terminate action usage is used to terminate the performance of some other action. The terminated action ends its performance by the completion of the terminate action usage.,action terminate1 terminate process;,7.17.10,SysML2
Structured Control Action Usage,構造化制御アクション使用,Structured control action usages are used to control the performance of nested action usages in a structured way.,"An if action usage evaluates a condition expression and then performs a then clause action usage if the expression evaluates to true, or, optionally, an else clause action usage if the expression evaluates to false.",7.17.1,SysML2
If Action Usage,Ifアクション使用,"An if action usage evaluates a condition expression and then performs a then clause action usage if the expression evaluates to true, or, optionally, an else clause action usage if the expression evaluates to false.",if selectedSensor != null { assign reading := selectedSensor.reading; } else { assign reading := undefinedValue; },7.17.11,SysML2
Loop Action Usage,ループアクション使用,"A loop action usage performs a body clause action usage iteratively, as long as its while expression continues to evaluate to true and its until expression continues to evaluate to false. (This is for while loop). A for loop action usage performs a body clause action usage iteratively, assigning a loop variable successively for each iteration to the values resulting from the evaluation of a sequence expression. (This is for for loop).",loop { assign charge := MonitorBattery(); then if charge < 100 { action AddCharge; } } until charge >= 100;,7.17.12,SysML2
Send Action Usage,送信アクション使用,A send action usage is declared as an action usage (see 7.17.2) implicitly defined by the action definition SendAction from the Actions library model (see 9.2.10).,send getReading.reading via monitor to destination;,7.17.7,SysML2
Accept Action Usage,受信アクション使用,An accept action usage is declared as an action usage (see 7.17.2) implicitly defined by the action definition AcceptAction from the Actions library model (see 9.2.10).,accept reading : SensorReading via controller;,7.17.8,SysML2
