Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
3dCoordinateFrame,3次元座標系,"(No explicit description, but implied by context as a specific type of CoordinateFrame for 3D spatial coordinates.)",General Types: CoordinateFrame. Features: dimensions : Positive [0..1] {redefines dimensions}.,9.8.3.2.1,SysML2,9.4
3dCoordinateFrame,3次元座標系,A 3dCoordinateFrame is a CoordinateFrame that has dimensions.,A 3dCoordinateFrame is a CoordinateFrame that has dimensions.,9.8.3.2.1,SysML2,9.8
3dVectorQuantityValue,3次元ベクトル量値,Most general representation of real 3-vector quantities.,Most general representation of real 3-vector quantities.,9.8.2.2.1,SysML2,9.4
about keyword,`about`キーワード,"One or more qualified names of annotated elements for the comment, separated by commas, are then given after the keyword about, indicating that the comment has annotation relationships to each of the identified elements.","comment Comment1 about A, B /* This is the comment body text. */",7.4.2,SysML2,7.4
Abstract (usage),抽象 (使用),Specifies that the usage is abstract. A usage that is not abstract is called a concrete usage.,abstract – Specifies that the usage is abstract.,7.6.3,SysML2,7.6
Abstract definition,抽象定義,A definition is specified as abstract by placing the keyword abstract before its kind keyword.,A definition is specified as abstract by placing the keyword abstract before its kind keyword.,7.6.2,SysML2,7.6
Abstract syntax,抽象構文,"The underlying structural representation of the SysML v2 language, extending the Kernel abstract syntax.","The SysML v2 abstract syntax extends the Kernel abstract syntax, providing specialized constructs for modeling systems (as shown in Fig. 1).",6.1,SysML2,6
Abstract Syntax,抽象構文,The abstract syntax is the common underlying syntactic representation for SysML models.,The SysML textual or graphical notations (see 8.2 ) provide for concrete presentation of models in the abstract syntax presentation.,8.3.1,SysML2,8.3
Abstract syntax (KerML),抽象構文 (KerML),"Abstract syntax specifies linguistic terms and relations between them (as opposed to library model terms), which may be expressed in the concrete syntax (see 8.3 ).","Abstract syntax specifies linguistic terms and relations between them (as opposed to library model terms), which may be expressed in the concrete syntax (see 8.3 ).",8.1,KerML1,8.1
Abstract Syntax Conformance,抽象構文適合性,"A tool demonstrating Abstract Syntax Conformance provides a user interface and/or API that enables instances of SysML abstract syntax metaclasses to be created, read, updated, and deleted. The tool must also provide a way to validate the well-formedness of models that corresponds to the constraints defined in the SysML metamodel. A well-formed model represented according to the abstract syntax is syntactically conformant to SysML as defined above.","1. Abstract Syntax Conformance. A tool demonstrating Abstract Syntax Conformance provides a user interface and/or API that enables instances of SysML abstract syntax metaclasses to be created, read, updated, and deleted. The tool must also provide a way to validate the well-formedness of models that corresponds to the constraints defined in the SysML metamodel. A well-formed model represented according to the abstract syntax is syntactically conformant to SysML as defined above. (See 8.3 .)",2,SysML2,2
